ID;ID_ADRESSE
BATIMENT0000000241180143;18
BATIMENT0000000241180144;18
BATIMENT0000000241180204;19
BATIMENT0000000241180239;19
BATIMENT0000000241180348;17
BATIMENT0000000241181955;9
BATIMENT0000000241181956;15
BATIMENT0000000241181958;8
BATIMENT0000000241181990;15
BATIMENT0000000241181991;10
BATIMENT0000000241181996;14
BATIMENT0000000241182002;15
BATIMENT0000000241182004;15
BATIMENT0000000244198494;7
BATIMENT0000000244198509;6
BATIMENT0000002292745400;4
BATIMENT0000000244198547;6
BATIMENT0000000241181960;16
BATIMENT0000000244198515;6
BATIMENT0000002244459373;6
BATIMENT0000000244193819;5
BATIMENT0000000241181957;11
BATIMENT0000000241180347;17
BATIMENT0000000244198449;3
BATIMENT0000002206221865;5
BATIMENT0000000241181447;12
BATIMENT1000000244198494;6
BATIMENT0000000244198426;2
BATIMENT0000000244198485;3
BATIMENT0000000244198486;3
BATIMENT0000000244198206;888
BATIMENT0000000244193817;5
BATIMENT0000000244198179;5
BATIMENT0000000244193810;5
BATIMENT0000000244193816;5
BATIMENT0000000244198487;5
BATIMENT0000000244198488;5
BATIMENT0000000244193809;5
BATIMENT0000002206222023;5
TRONROUT0000000004431125;1003
TRONROUT0000000302608932;1003
TRONROUT0000000004431136;1003
TRONROUT0000000302608932;1003
TRONROUT0000000004429753;1004
TRONROUT0000000324054298;1004
TRONROUT0000000324054298;1004
TRONROUT0000000243454399;1005
TRONROUT0000000243454399;1005
TRONROUT0000000004431137;1006
TRONROUT0000000004431914;1006
TRONROUT0000000308723246;1006
TRONROUT0000000004431925;1006
TRONROUT0000000004431124;1006
TRONROUT0000000004431131;1006
TRONROUT0000000004431931;1006
TRONROUT0000000308723244;1006
TRONROUT0000000004431130;1006
TRONROUT0000000004431926;1006
TRONROUT0000000302608930;1006
TRONROUT0000000308723249;1006
TRONROUT0000000004431933;1006
TRONROUT0000000308723247;1006
TRONROUT0000000004431127;1006
TRONROUT0000000004431126;1006
TRONROUT0000000004431129;1006
TRONROUT0000000308723245;1006
TRONROUT0000000308723248;1006
TRONROUT0000000004431135;1006
TRONROUT0000000308723246;1006
TRONROUT0000000241615531;1007
TRONROUT0000000004431929;1008
TRONROUT0000000004431932;1009
TRONROUT0000000004431940;1010
TRONROUT0000000004431138;1011
TRONROUT0000000004431154;1012
TRONROUT0000002001899168;1013
TRONROUT0000002244467587;1014
TRONROUT0000000004430357;1015
TRONROUT0000000349581335;1015
TRONROUT0000000004430356;1015
TRONROUT0000000240167644;1015
TRONROUT0000000004431930;1015
TRONROUT0000000004431919;1015
TRONROUT0000000241615530;1015
